dfpap,dfpmp,%win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
8,2.00,0.48,0.50,2066089,120489,2064771,64253,34999661,814
8,2.25,0.48,0.50,2177237,122030,2176019,67610,35615080,823
8,2.50,0.48,0.50,2176199,121546,2175006,67564,36134893,836
8,2.75,0.48,0.50,2324924,124105,2323762,72238,37817807,895
8,3.00,0.48,0.49,2383128,125757,2382008,73955,40575346,849
9,0.00,0.48,0.50,1906383,116758,1905186,59365,33052103,845
9,0.25,0.47,0.49,2166187,123451,2164903,67405,37326952,918
9,0.50,0.47,0.50,1984167,117872,1982890,61821,34473541,941
9,0.75,0.47,0.50,1947381,116952,1946021,60691,33399726,914
9,1.00,0.47,0.49,2021081,117124,2019811,62959,32253694,814
9,1.25,0.48,0.50,1905414,116269,1904141,59346,31906567,794
9,1.50,0.47,0.49,2169063,124118,2167827,67412,36534480,782
9,1.75,0.48,0.50,1976749,118790,1975490,61514,32501479,800
9,2.00,0.47,0.49,2043998,120423,2042765,63617,35805318,858
9,2.25,0.48,0.50,2122910,121202,2121692,65968,35428095,810
9,2.50,0.48,0.50,2115732,121026,2114470,65669,35961684,850
9,2.75,0.48,0.50,2335750,123886,2334597,72494,37141084,796
9,3.00,0.48,0.50,2327325,125016,2326259,72216,40115779,805
